flowtime, d1, d2, d3
15.5, 0.9999999999999694 + 8.239936510889834e-18im, 0.9999999999999759 + 1.3010426069826053e-18im, 1.0000000000000442 - 5.551115123125783e-17im
15.6, 0.9999999999999691 + 7.806255641895632e-18im, 0.9999999999999738 + 1.3010426069826053e-18im, 1.0000000000000435 - 4.163336342344337e-17im
15.7, 0.999999999999967 + 8.023096076392733e-18im, 0.9999999999999731 + 1.8431436932253575e-18im, 1.0000000000000435 - 5.551115123125783e-17im
15.8, 0.9999999999999661 + 8.023096076392733e-18im, 0.9999999999999748 + 2.168404344971009e-18im, 1.0000000000000435 - 8.326672684688674e-17im
15.9, 0.9999999999999655 + 7.806255641895632e-18im, 0.9999999999999744 + 1.951563910473908e-18im, 1.0000000000000433 - 5.551115123125783e-17im
16.0, 0.9999999999999667 + 7.806255641895632e-18im, 0.9999999999999765 + 1.8431436932253575e-18im, 1.0000000000000464 + 1.3877787807814457e-17im
16.1, 0.9999999999999699 + 7.806255641895632e-18im, 0.999999999999978 + 2.6020852139652106e-18im, 1.0000000000000457 + 4.163336342344337e-17im
16.2, 0.999999999999971 + 7.589415207398531e-18im, 0.9999999999999781 + 2.710505431213761e-18im, 1.0000000000000477 + 0.0im
16.3, 0.9999999999999697 + 7.589415207398531e-18im, 0.9999999999999789 + 2.6020852139652106e-18im, 1.0000000000000484 + 2.7755575615628914e-17im
16.4, 0.9999999999999692 + 7.806255641895632e-18im, 0.9999999999999798 + 2.8189256484623115e-18im, 1.000000000000048 + 1.1102230246251565e-16im
16.5, 0.9999999999999676 + 7.806255641895632e-18im, 0.9999999999999805 + 2.927345865710862e-18im, 1.0000000000000502 + 1.3877787807814457e-16im
16.6, 0.9999999999999671 + 7.806255641895632e-18im, 0.9999999999999798 + 3.144186300207963e-18im, 1.0000000000000488 + 8.326672684688674e-17im
16.7, 0.9999999999999653 + 8.239936510889834e-18im, 0.9999999999999817 + 2.927345865710862e-18im, 1.0000000000000495 + 8.326672684688674e-17im
16.8, 0.9999999999999688 + 5.637851296924623e-18im, 0.9999999999999815 + 2.710505431213761e-18im, 1.0000000000000486 + 1.1102230246251565e-16im
16.9, 0.9999999999999674 + 5.637851296924623e-18im, 0.9999999999999805 + 3.144186300207963e-18im, 1.0000000000000504 + 1.6653345369377348e-16im
17.0, 0.9999999999999694 + 6.938893903907228e-18im, 0.9999999999999798 + 2.927345865710862e-18im, 1.0000000000000488 + 3.3306690738754696e-16im
17.1, 0.9999999999999714 + 6.5052130349130266e-18im, 0.9999999999999825 + 2.6020852139652106e-18im, 1.0000000000000466 + 4.163336342344337e-16im
17.2, 0.9999999999999762 + 3.0357660829594124e-18im, 0.9999999999999823 + 2.4936649967166602e-18im, 1.0000000000000469 + 4.163336342344337e-16im
17.3, 0.9999999999999758 + 3.469446951953614e-18im, 0.9999999999999825 + 2.710505431213761e-18im, 1.000000000000046 + 3.885780586188048e-16im
17.4, 0.9999999999999737 + 4.7704895589362195e-18im, 0.9999999999999808 + 3.0357660829594124e-18im, 1.0000000000000462 + 3.608224830031759e-16im
17.5, 0.9999999999999768 + 3.903127820947816e-18im, 0.9999999999999798 + 2.927345865710862e-18im, 1.0000000000000464 + 3.3306690738754696e-16im
17.6, 0.9999999999999765 + 4.7704895589362195e-18im, 0.9999999999999809 + 2.927345865710862e-18im, 1.000000000000047 + 3.0531133177191805e-16im
17.7, 0.9999999999999762 + 1.734723475976807e-18im, 0.9999999999999808 + 2.927345865710862e-18im, 1.0000000000000475 + 3.608224830031759e-16im
17.8, 0.9999999999999766 + 1.3010426069826053e-18im, 0.9999999999999833 + 3.0357660829594124e-18im, 1.0000000000000473 + 2.498001805406602e-16im
17.9, 0.9999999999999769 + 8.673617379884035e-19im, 0.9999999999999819 + 2.927345865710862e-18im, 1.0000000000000462 + 2.498001805406602e-16im
18.0, 0.9999999999999747 + 2.168404344971009e-18im, 0.9999999999999803 + 2.3852447794681098e-18im, 1.000000000000047 + 1.1102230246251565e-16im
