flowtime, d1, d2, d3
12.0, 1.0000000000000293 + 3.2526065174565133e-19im, 0.9999999999999994 - 9.107298248878237e-18im, 0.9999999999999901 - 2.710505431213761e-18im
12.1, 1.0000000000000286 + 0.0im, 1.0000000000000022 - 9.107298248878237e-18im, 0.9999999999999889 - 2.6020852139652106e-18im
12.2, 1.000000000000028 + 0.0im, 1.0000000000000018 - 9.107298248878237e-18im, 0.9999999999999901 - 2.927345865710862e-18im
12.3, 1.0000000000000273 + 3.2526065174565133e-19im, 1.000000000000002 - 9.107298248878237e-18im, 0.9999999999999898 - 2.710505431213761e-18im
12.4, 1.0000000000000262 + 2.168404344971009e-19im, 1.0000000000000009 - 8.673617379884035e-18im, 0.9999999999999877 - 2.6020852139652106e-18im
12.5, 1.0000000000000253 - 1.0842021724855044e-19im, 0.9999999999999998 - 8.673617379884035e-18im, 0.9999999999999869 - 2.927345865710862e-18im
12.6, 1.0000000000000233 - 2.168404344971009e-19im, 0.9999999999999996 - 9.107298248878237e-18im, 0.9999999999999845 - 3.0357660829594124e-18im
12.7, 1.0000000000000218 - 1.0842021724855044e-19im, 1.0 - 9.540979117872439e-18im, 0.9999999999999803 - 3.2526065174565133e-18im
12.8, 1.0000000000000215 - 4.336808689942018e-19im, 1.0000000000000024 - 9.540979117872439e-18im, 0.9999999999999775 - 3.3610267347050637e-18im
12.9, 1.0000000000000195 - 5.421010862427522e-19im, 1.0000000000000024 - 9.540979117872439e-18im, 0.9999999999999757 - 2.927345865710862e-18im
13.0, 1.0000000000000195 - 8.673617379884035e-19im, 1.000000000000003 - 9.974659986866641e-18im, 0.9999999999999727 - 3.144186300207963e-18im
13.1, 1.0000000000000175 - 4.336808689942018e-19im, 1.0000000000000036 - 1.1709383462843448e-17im, 0.9999999999999729 - 2.8189256484623115e-18im
13.2, 1.000000000000016 - 5.421010862427522e-19im, 1.000000000000007 - 1.214306433183765e-17im, 0.9999999999999741 - 2.8189256484623115e-18im
13.3, 1.0000000000000169 - 1.0842021724855044e-18im, 1.0000000000000078 - 1.1709383462843448e-17im, 0.9999999999999748 - 2.3852447794681098e-18im
